Nanopore barcode ID,BC1,BC2,BC3,BC4,BC5,BC6
barcode01,ADAS276,KULS028,TOLS109,ADAR228,TADR168,ELUR011
barcode02,ADAS271,KULS035,TOLS111,ADAR223,TADR162,ELUR012
barcode03,ADAS277,KULS037,TOLS105,ADAR220,TADR152,ELUR005
barcode04,ADAS288,KULS036,TOLS114,ADAR210,TADR153,ELUR010
barcode05,ADAS282,KULS034,TOLS116,ADAR227,TADR163,ELUR001
barcode06,ADAS217,KULS030,TOLS097,ADAR219,TADR157,ELUR003
barcode07,ADAS286,KULS029,TOLS113,ADAR225,TADR150,ELUR001
barcode08,ADAS284,KULS031,TOLS110,ADAR213,TADR151,ELUR009
barcode09,ADAS272,KULS033,TOLS098,ADAR215,TADR167,ELUR008
barcode10,ADAS275,KULS032,TOLS104,ADAR218,TADR164,ELUR011
barcode11,OBUS034,TEMS012,KONS200,OBUR015,TEMR010,KONR030
barcode12,OBUS029,TEMS011,KONS190,OBUR013,TEMR001,KONR025
barcode13,OBUS023,TEMS014,KONS195,OBUR019,TEMR002,KONR035
barcode14,OBUS025,TEMS013,KONS208,OBUR005,TEMR003,KONR039
barcode15,OBUS038,TEMS019,KONS209,OBUR020,TEMR004,KONR040
barcode16,OBUS021,TEMS015,KONS199,OBUR018,TEMR005,KONR027
barcode17,OBUS036,TEMS018,KONS191,OBUR012,TEMR007,KONR029
barcode18,OBUS022,TEMS017,KONS197,OBUR017,TEMR008,KONR026
barcode19,OBUS031,TEMS020,KONS201,OBUR008,TEMR009,KONR025
barcode20,OBUS040,TEMS019,KONS205,OBUR076,TEMR006,KONR024
barcode21,DODS014,TADS181,PED016,DODR032,KULR024,BEG049
barcode22,DODS149,TADS188,PED079,DODR127,KULR025,BEG058
barcode23,DODS114,TADS178,PED106,DODR135,KULR021,BEG046
barcode24,DODS178,TADS173,PED082,DODR130,KULR026,BEG036
barcode25,DODS137,TADS175,PED049,DODR131,KULR027,BEG042
barcode26,DODS141,TADS170,PED017,DODR125,KULR022,BEG059
barcode27,DODS139,TADS179,PED114,DODR126,KULR023,BEG041
barcode28,DODS143,TADS180,PED078,DODR119,KULR017,BEG043
barcode29,DODS142,TADS186,PED056,DODR122,KULR028,BEG051
barcode30,DODS146,TADS166,PED102,DODR123,KULR015,BEG032
barcode31,KPAS075,ELUS248,KAD166,KPAR052,TOLR009,TUB3378
barcode32,KPAS029,ELUS247,KAD200,KPAR054,TOLR005,TUB3334
barcode33,KPAS071,ELUS230,KAD103,KPAR044,TOLR008,TUB4145
barcode34,KPAS068,ELUS231,KAD197,KPAR055,TOLR003,TUB3357
barcode35,KPAS078,ELUS239,KAD168,KPAR058,TOLR011,TUB4087
barcode36,KPAS080,ELUS233,KAD180,KPAR051,TOLR006,TUB3349
barcode37,KPAS066,ELUS235,KAD183,KPAR048,TOLR012,TUB4303
barcode38,KPAS076,ELUS243,KAD155,KPAR043,TOLR001,TUB4032
barcode39,KPAS064,ELUS249,KAD199,KPAR046,TOLR004,TUB3379
barcode40,KPAS065,ELUS242,KAD161,KPAR051,TOLR019,TUB3337